"URL encoded name","decoded name"
"%27Blueberries%27%20Buckshot%20%7C%20NSWC%20SEAL","'Blueberries' Buckshot | NSWC SEAL"
"%27Medium%20Rare%27%20Crasswater%20%7C%20Guerrilla%20Warfare","'Medium Rare' Crasswater | Guerrilla Warfare"
"%27The%20Doctor%27%20Romanov%20%7C%20Sabre","'The Doctor' Romanov | Sabre"
"%27Two%20Times%27%20McCoy%20%7C%20TACP%20Cavalry","'Two Times' McCoy | TACP Cavalry"
"%27Two%20Times%27%20McCoy%20%7C%20USAF%20TACP","'Two Times' McCoy | USAF TACP"
"10%20Year%20Birthday%20Sticker%20Capsule","10 Year Birthday Sticker Capsule"
"1st%20Lieutenant%20Farlow%20%7C%20SWAT","1st Lieutenant Farlow | SWAT"
"2020%20RMR%20Challengers","2020 RMR Challengers"
"2020%20RMR%20Contenders","2020 RMR Contenders"
"2020%20RMR%20Legends","2020 RMR Legends"
"2021%20Community%20Sticker%20Capsule","2021 Community Sticker Capsule"
"3rd%20Commando%20Company%20%7C%20KSK","3rd Commando Company | KSK"
"Aces%20High%20Pin","Aces High Pin"
"AK-47%20%7C%20Aquamarine%20Revenge%20(Battle-Scarred)","AK-47 | Aquamarine Revenge (Battle-Scarred)"
"AK-47%20%7C%20Aquamarine%20Revenge%20(Factory%20New)","AK-47 | Aquamarine Revenge (Factory New)"
"AK-47%20%7C%20Aquamarine%20Revenge%20(Field-Tested)","AK-47 | Aquamarine Revenge (Field-Tested)"
"AK-47%20%7C%20Aquamarine%20Revenge%20(Minimal%20Wear)","AK-47 | Aquamarine Revenge (Minimal Wear)"
"AK-47%20%7C%20Aquamarine%20Revenge%20(Well-Worn)","AK-47 | Aquamarine Revenge (Well-Worn)"
"AK-47%20%7C%20Asiimov%20(Battle-Scarred)","AK-47 | Asiimov (Battle-Scarred)"
"AK-47%20%7C%20Asiimov%20(Factory%20New)","AK-47 | Asiimov (Factory New)"
"AK-47%20%7C%20Asiimov%20(Field-Tested)","AK-47 | Asiimov (Field-Tested)"
"AK-47%20%7C%20Asiimov%20(Minimal%20Wear)","AK-47 | Asiimov (Minimal Wear)"
"AK-47%20%7C%20Asiimov%20(Well-Worn)","AK-47 | Asiimov (Well-Worn)"
"AK-47%20%7C%20Baroque%20Purple%20(Battle-Scarred)","AK-47 | Baroque Purple (Battle-Scarred)"
"AK-47%20%7C%20Baroque%20Purple%20(Factory%20New)","AK-47 | Baroque Purple (Factory New)"
"AK-47%20%7C%20Baroque%20Purple%20(Field-Tested)","AK-47 | Baroque Purple (Field-Tested)"
"AK-47%20%7C%20Baroque%20Purple%20(Minimal%20Wear)","AK-47 | Baroque Purple (Minimal Wear)"
"AK-47%20%7C%20Baroque%20Purple%20(Well-Worn)","AK-47 | Baroque Purple (Well-Worn)"
